Selection Menu	Title	Dry Fragrance	Wet Aroma	Brightness	Flavor	Body	Finish	Sweetness	Clean Cup	Complexity	Uniformity	Cupper Correction	Score
El Salvador	El Salvador Pulp Natural Finca Mauritania	8.5	7.8	8.2	8.6	8.5	8.3	8	7	7	8	7	86.9
El Salvador	El Salvador Siberia Estate Bourbon 2008	8	8.5	8.7	8.5	7.8	8.5	8	8.5	7	8.5	5	87
El Salvador	El Salvador Matalapa Estate Bourbon	8	8	8.6	8.5	7.8	8.5	8	8.5	7	8.5	5.5	86.9
El Salvador	El Salvador Santa Rita Full Natural	8.5	8.7	8.5	8.7	9.4	8.8	6.5	5.5	8	8	7	87.6
El Salvador	El Salvador Los Luchadores Pacamara	8.4	8	7.5	9.2	8.8	8.8	8	7	8.5	8	6	88.2
El Salvador	El Salvador Finca Kilimanjaro 2008	8.5	8.5	9.3	9	7.5	9	9	8	7	8	8	91.8
El Salvador	El Salvador Peaberry "Aida's Grand Reserve" 2008	9	9.2	8.7	9.6	9	9.4	8.5	7.5	9	8.5	5	93.4
El Salvador	El Salvador - Orange Bourbon Cultivar	8.5	8.7	8	8.6	8.8	8.5	9	8	6	8	5	87.1
El Salvador	El Salvador Cup of Excellence - Finca Malacara	8.2	8.5	9	9	8.5	8.8	9	9	6	8.8	5	89.8
El Salvador	El Salvador Finca Mauritania	8.5	8.5	8.4	8.8	8	8.7	8	9	6	9	5	87.9
El Salvador	El Salvador - Yellow Bourbon Cultivar	8.5	8.7	8.6	8.7	7.5	8.8	8.5	8	7	8	5	87.3
Ethiopia	Ethiopia DP Sidama Aleta Wondo	8.9	9	7.5	9.2	9	8.8	8.7	7	9	6.5	7	90.6
Ethiopia	Ethiopia Limu Borka Gudina	8.3	8.5	8.3	8.6	9	8.5	8	9	7.5	8	4	87.7
Ethiopia	Ethiopia Harar Longberry	8.8	8.8	8.4	8.5	8.5	8.4	8	7	8.5	7	5	86.9
Ethiopia	Ethiopia Yirga Cheffe Dumerso Cooperative	8.7	8.9	8.7	8.9	8.7	8.8	8.5	8	8.5	7.8	4	89.5
Ethiopia	Ethiopia Dry Process Bench Maji Biftu	8.6	8.7	8.6	9.3	8.5	9.4	8.5	6.8	8.5	7	5	88.9
Ethiopia	Ethiopia Moplaco Yirga Cheffe	8.8	8.8	8.9	9	8.5	8.9	9	9	8.3	8	4	91.2
Ethiopia	Ethiopia Organic Guji Suke Quto	9.1	9.2	8.9	9.5	7.5	9.3	8	8.5	8.5	8	5	91.5
Ethiopia	Ethiopia Gr. 3 Dry Process Yirga Cheffe	9.4	8.2	8.6	9.3	8.5	9.4	8.5	6.8	8.5	7	5	90.2
Ethiopia	Ethiopia Harar Longberry	8.7	8.8	8.3	8.8	8.6	8.3	7.8	6.8	8.5	7.5	5	87.1
Ethiopia	Ethiopia Yirga Cheffe	8.9	8.8	8.9	9	7	8.8	8.5	8.5	7.5	8	5	88.9
Ethiopia	Ethiopia Wet-Process Jimma -Duromina Coop	9	8.8	8.8	9	8	9	9.2	9.4	8	8	3	90.2
Ethiopia	Ethiopia Wet Process Wollega Leka Wato	8.8	8.7	9.2	9.5	8.5	9.2	9.8	9	7.8	8.5	4	93
Ethiopia	Ethiopia Sidama Bonko	9	8.8	9.2	9.2	8	9	9	8.5	8	8	5	91.7
Ethiopia	Ethiopia Sidama WP Decaf	8	8.4	8.5	8.3	8.7	8.6	8	8	6.5	7.5	6	86.5
Ethiopia	Ethiopia FTO Sidama -Shilcho Cooperative	9	8.9	8.8	9	7	8.7	8.5	8.5	7	8	6	88.4
Ethiopia	Ethiopia Gr. 3 Dry Process Yirga Cheffe	9.4	9.2	8.6	9.5	8.3	9.4	8.5	7	8.5	7	5	90.4
Ethiopia	Ethiopia FTO Wet Process Uraga Layo Teraga	9	9	8.7	9	8	9	8.5	9	7.5	8.5	4	90.2
Ethiopia	Ethiopia Harar Organic Dry Process Biftu Genema	9	8.8	8.5	9	8.8	9.2	8.4	7	9	7	5	89.7
Ethiopia	Ethiopia Dry Process Weshi Jimma	9.2	9.2	8.6	9.2	7.5	8	8.8	8	8.5	7	5	90
Ethiopia	Ethiopia Wet Process Guji Oromo	9.2	9.3	8.9	9.3	7	9.5	8	8.5	8.5	8	5	91.2
Ethiopia	Ethiopia Yirga Cheffe Kochere	8.9	8.8	8.9	9	7	9	8.5	9	7.5	8.5	5	90.1
Ethiopia	Ethiopia Organic Shakiso Wet Process	8.8	8.7	8.6	9	8.4	9	9	9	8	8	3	89.5
Ethiopia	Ethiopia Organic Shakiso Sidamo "Maduro"	9	8.7	8.5	9.2	8.8	9.3	8	6.5	9	7.5	7	91.5
Ethiopia	Ethiopia FTO Shoye Sidamo WP Decaf	8.6	8.3	8.6	8.8	8.5	8.6	9.5	6.5	8.5	8	5	88.9
Ethiopia	Ethiopia FTO DP Sidamo Shoye Union	9.4	9.2	8.8	9.3	9	9.3	9.5	6.5	8.5	6	5	90.5
Ethiopia	Ethiopia Organic Yirga Cheffe, Koke Coop	8.8	9	9	9.4	8.2	9.4	9.5	8.5	8.5	8	4	92.3
Ethiopia	Ethiopia Dry-Process Sidamo MC Decaf	8.2	8.4	8.5	8.4	8.5	8.6	8.2	8	7	7.5	5	86.3
Ethiopia	Ethiopia FTO Oromia Yirga Cheffe	8.8	9	8.8	9	8	8.9	9	8.5	8	8	4	90
Ethiopia	Ethiopia DP Haile Selassie Sidamo	9.4	9.2	8.7	9.3	8.7	9.3	9.5	7	8.3	7	6	92.4
Ethiopia	Ethiopia Organic Dry Process Guji Sidamo	9	8.7	8.4	9.2	9	8.8	8	6.5	8.5	5.5	7	88.6
Ethiopia	Ethiopia Organic Guji Sidamo SWP Decaf	8.5	8.6	8.7	8.6	8.8	8.5	8.4	8.5	7	9	3	87.6
Ethiopia	Ethiopia Gr.3 Dry Process Yirga Cheffe	9.5	9.3	8.7	9.6	8.3	9.4	8.5	7.5	9	7.5	5	92.3
Ethiopia	Ethiopia Moplaco Yirga Cheffe	8.8	9.5	8.9	9.4	8.6	8.7	9	9	8.3	8	4	92.2
Ethiopia	Ethiopia Dry-Process Sidamo MC Decaf	8.2	8.4	8.5	8.4	8.5	8.6	8.2	8	7	7.5	5	86.3
Ethiopia	Ethiopia Mullege Yirga Cheffe	8.7	8.7	8.8	8.7	8.6	8.7	8.5	9	7.5	8	2	87.2
Ethiopia	Ethiopia Dry-Process Sidamo WP Decaf	8	8.4	8.5	8.3	8.7	8.6	8	8	6.5	7.5	6	86.5
Ethiopia	Ethiopia Wet-Process Bonko	9	8.7	9.5	9	6.5	9	9	10	7	9	5	91.7
Ethiopia	Ethiopia Organic Dry-Process Birbissa	8.5	9	7.5	9	9	8.4	7.5	5.5	9	6	7	86.4
Ethiopia	Ethiopia Organic Kemala "Korito Koran"	8.5	8.2	6.5	8.7	9.5	8.8	8.5	6	8.5	6.5	7.5	87.2
Ethiopia	Ethiopia Organic Natural Djimma WP Decaf	8	8.3	8	8.3	6.5	8.3	8	7	7	7.5	8	84.9
Ethiopia	Ethiopia Organic DP Bonko "Black Sun"	8.6	8.8	8.6	9.2	8.5	9.3	9	6	9	7	8	92
Ethiopia	Ethiopia Organic Wet-Process Kebado	9	9	8.8	9.5	6.5	9.6	9	8	8	8	7	92.4
